ahash,phash,dhash,label
7,12,24,NG
59,5,18,NG
27,19,15,NG
42,21,21,NG
55,4,20,NG
44,14,21,NG
35,28,25,NG
31,10,24,NG
35,8,27,NG
34,28,21,NG
20,25,26,NG
26,13,28,NG
30,11,25,NG
31,10,34,NG
45,9,21,NG
45,26,30,NG
31,26,29,NG
28,28,30,NG
29,23,23,NG
38,30,23,NG
25,29,34,NG
33,20,30,NG
34,23,23,NG
35,18,26,NG
39,19,31,NG
46,8,25,NG
43,6,28,NG
43,6,30,NG
16,7,24,NG
47,8,31,NG
47,5,25,NG
46,5,25,NG
45,7,32,NG
45,7,27,NG
15,1,9,NG
42,5,26,NG
48,7,27,NG
48,6,26,NG
47,8,25,NG
44,7,24,NG
48,7,28,NG
47,6,26,NG
40,6,23,NG
5,5,29,NG
5,3,26,NG
36,6,29,NG
52,9,29,NG
51,8,28,NG
6,8,28,NG
47,7,28,NG
49,8,26,NG
35,7,29,NG
13,7,20,NG
36,3,29,NG
44,6,30,NG
47,6,23,NG
50,7,26,NG
45,7,29,NG
49,8,24,NG
42,8,27,NG
9,8,26,NG
48,8,25,NG
49,6,24,NG
50,8,27,NG
45,8,30,NG
46,8,27,NG
53,8,29,NG
13,10,27,NG
11,6,24,NG
45,8,28,NG
50,7,25,NG
46,4,26,NG
42,8,26,NG
7,7,29,NG
40,5,30,NG
15,8,23,NG
41,8,31,NG
40,9,28,NG
40,7,26,NG
46,8,28,NG
43,9,26,NG
45,14,29,NG
12,13,22,NG
50,8,25,NG
2,4,15,NG
52,9,26,NG
50,6,29,NG
43,6,26,NG
41,8,23,NG
49,9,25,NG
27,11,20,NG
37,6,27,NG
33,14,34,NG
48,10,33,NG
47,11,28,NG
40,4,24,NG
43,8,26,NG
14,21,23,NG
20,14,24,NG
26,7,27,NG
28,17,21,NG
22,13,25,NG
30,18,25,NG
23,17,28,NG
9,14,35,NG
6,21,22,NG
32,12,29,NG
45,25,29,NG
34,35,25,NG
31,10,20,NG
24,27,18,NG
38,20,21,NG
24,28,22,NG
24,3,21,NG
34,16,25,NG
27,30,30,NG
27,10,34,NG
12,20,22,NG
13,19,12,NG
24,9,6,NG
19,20,6,NG
21,14,18,NG
21,10,7,NG
29,27,18,NG
21,15,8,NG
15,11,8,NG
26,16,10,NG
17,17,10,NG
31,25,17,NG
17,15,8,NG
28,23,15,NG
28,23,11,NG
29,29,15,NG
25,0,7,NG
21,14,7,NG
25,28,13,NG
18,13,8,NG
24,10,7,NG
31,31,19,NG
19,19,7,NG
17,12,12,NG
30,28,18,NG
25,0,15,NG
25,10,9,NG
16,12,9,NG
20,22,13,NG
15,18,11,NG
23,15,4,NG
21,20,9,NG
8,17,13,NG
11,19,12,NG
31,29,17,NG
26,17,9,NG
19,16,5,NG
11,23,14,NG
10,9,15,NG
19,21,7,NG
22,8,8,NG
8,16,8,NG
9,21,16,NG
22,23,5,NG
9,17,12,NG
29,14,12,NG
33,33,18,NG
20,15,5,NG
16,15,15,NG
20,16,10,NG
14,12,9,NG
11,19,12,NG
16,24,11,NG
13,25,9,NG
30,27,16,NG
17,13,9,NG
18,11,9,NG
10,9,6,NG
24,11,7,NG
12,20,10,NG
11,17,12,NG
25,16,7,NG
20,11,10,NG
13,10,11,NG
10,10,8,NG
21,18,11,NG
12,15,11,NG
21,7,17,NG
24,28,14,NG
24,18,4,NG
19,14,8,NG
10,31,10,NG
28,19,9,NG
25,0,7,NG
21,22,24,NG
18,24,17,NG
20,16,10,NG
23,14,5,NG
13,17,10,NG
27,19,10,NG
26,18,7,NG
17,15,24,NG
17,29,9,NG
26,26,13,NG
21,19,13,NG
19,28,13,NG
18,15,6,NG
20,17,5,NG
14,24,22,NG
54,13,25,NG
21,17,14,NG
24,16,16,NG
23,16,20,NG
39,32,31,NG
18,10,14,NG
23,14,15,NG
30,32,25,NG
21,20,25,NG
20,20,21,NG
21,15,18,NG
23,24,23,NG
20,25,18,NG
20,20,21,NG
20,20,25,NG
22,22,21,NG
21,26,19,NG
17,21,23,NG
20,24,22,NG
21,20,18,NG
29,27,28,NG
19,15,17,NG
15,19,21,NG
19,15,12,NG
24,16,9,NG
23,18,19,NG
17,12,14,NG
19,14,17,NG
23,16,15,NG
38,32,27,NG
24,26,17,NG
24,27,17,NG
23,12,14,NG
18,18,22,NG
25,31,24,NG
17,19,12,NG
27,19,26,NG
29,18,2,NG
22,13,4,NG
20,20,18,NG
10,20,7,NG
12,11,6,NG
25,17,10,NG
27,12,7,NG
23,19,10,NG
24,20,9,NG
28,30,12,NG
26,28,14,NG
24,12,12,NG
10,15,4,NG
24,21,20,NG
10,19,12,NG
24,12,12,NG
26,11,5,NG
15,21,15,NG
4,9,16,NG
8,3,11,NG
16,1,21,NG
35,25,32,NG
26,6,19,NG
36,17,34,NG
23,20,24,NG
34,4,38,NG
33,3,20,NG
20,1,27,NG
27,4,35,NG
26,1,24,NG
10,11,38,NG
58,2,17,NG
60,2,27,NG
39,16,41,NG
18,14,34,NG
20,1,35,NG
28,4,14,NG
29,7,21,NG
43,8,28,NG
13,14,23,NG
15,19,23,NG
15,30,21,NG
13,20,27,NG
25,19,28,NG
18,20,21,NG
16,26,14,NG
13,15,27,NG
22,23,22,NG
13,17,28,NG
26,16,13,NG
37,3,27,NG
15,22,33,NG
15,23,25,NG
10,22,17,NG
26,18,25,NG
35,25,22,NG
35,29,33,NG
28,24,13,NG
11,23,21,NG
13,24,29,NG
20,21,17,NG
